country_id,month_id,name,gwcode,isoab,year,month,main_mean,surrogate_mean_dem,main_mean_ln,surrogate_mean_dem_ln,surrogate_mean_ch_ln,surrogate_mean_nch_ln,surrogate_mean_pop_ln,surrogate_mean_nch,surrogate_mean_imr_ln,surrogate_mean_pop,surrogate_mean_imr,surrogate_mean_ch,main_dich
#country+id,#date+month+id,#country+name,#country+code+gw,#country+code,#date+year,#date+month,#fatalities+pred+num,#fatalities+pred+libdem+num,#fatalities+pred+ln+num,#fatalities+pred+libdem+ln+num,#fatalities+pred+confhist+ln+num,#fatalities+pred+nbconf+ln+num,#fatalities+pred+population+ln+num,#fatalities+pred+nbconf+num,#fatalities+pred+imr+ln+num,#fatalities+pred+population+num,#fatalities+pred+imr+num,#fatalities+pred+history+confhist+num,#fatalities+pred+prob
245,550,Sudan,625,SDN,2025,10,286.434,1.013,5.661,0.6996,5.6509,1.9791,1.3012,6.2363,1.1534,2.6736,2.169,283.5595,0.9896
245,551,Sudan,625,SDN,2025,11,343.0217,1.0631,5.8407,0.7242,5.7592,2.0006,1.3107,6.3936,1.1732,2.7089,2.2325,316.1073,0.9888
245,552,Sudan,625,SDN,2025,12,355.8717,1.0559,5.8774,0.7207,5.3994,1.9742,1.2804,6.2009,1.1359,2.5979,2.1141,220.2812,0.9913
245,553,Sudan,625,SDN,2026,1,302.89,1.0662,5.7167,0.7257,5.2915,2.0048,1.2855,6.4243,1.1414,2.6165,2.1313,197.6454,0.9861
245,554,Sudan,625,SDN,2026,2,213.0552,1.0665,5.3662,0.7259,5.2053,1.9996,1.2708,6.3862,1.1143,2.5637,2.0475,181.238,0.9794
245,555,Sudan,625,SDN,2026,3,271.6275,1.0723,5.6081,0.7287,5.1943,2.0099,1.2707,6.4624,1.1217,2.5635,2.0702,179.2419,0.985
245,556,Sudan,625,SDN,2026,4,240.7708,1.095,5.488,0.7395,5.1729,2.0585,1.2882,6.8342,1.1227,2.6262,2.073,175.4222,0.9829
245,557,Sudan,625,SDN,2026,5,191.2888,1.0993,5.259,0.7416,5.1943,2.0717,1.2829,6.9386,1.1292,2.6069,2.0931,179.246,0.9758
245,558,Sudan,625,SDN,2026,6,232.9531,1.0985,5.4551,0.7412,5.2022,2.0509,1.2759,6.7751,1.1064,2.5818,2.0235,180.6652,0.984
245,559,Sudan,625,SDN,2026,7,162.9432,1.1055,5.0995,0.7445,5.1455,2.0316,1.2699,6.6261,1.0944,2.5605,1.9874,170.6649,0.9734
245,560,Sudan,625,SDN,2026,8,187.0353,1.1003,5.2366,0.7421,5.1636,1.9962,1.2754,6.3611,1.0949,2.5802,1.9889,173.7849,0.9752
245,561,Sudan,625,SDN,2026,9,174.5047,1.156,5.1677,0.7683,5.1768,2.1232,1.3117,7.3581,1.0993,2.7126,2.002,176.1156,0.9699
245,562,Sudan,625,SDN,2026,10,157.1523,1.153,5.0636,0.7669,5.0933,2.1196,1.3232,7.3276,1.1121,2.7556,2.0406,161.926,0.9662
245,563,Sudan,625,SDN,2026,11,120.5203,1.132,4.8001,0.7571,5.1598,2.107,1.3188,7.2235,1.1064,2.7388,2.0235,173.1312,0.9422
245,564,Sudan,625,SDN,2026,12,121.2957,1.11,4.8064,0.7467,4.9952,2.107,1.2831,7.2232,1.0713,2.6076,1.9193,146.7039,0.9529
245,565,Sudan,625,SDN,2027,1,162.401,1.1878,5.0962,0.7829,5.0786,2.2051,1.3211,8.0712,1.0889,2.7476,1.9711,159.5461,0.9633
245,566,Sudan,625,SDN,2027,2,176.3832,1.198,5.1783,0.7875,4.9921,2.2169,1.3369,8.179,1.0974,2.807,1.9963,146.2391,0.9623
245,567,Sudan,625,SDN,2027,3,203.9431,1.1945,5.3227,0.7859,5.0099,2.254,1.3478,8.5261,1.1011,2.8489,2.0075,148.8934,0.9692
245,568,Sudan,625,SDN,2027,4,215.5267,1.176,5.3777,0.7775,4.918,2.2525,1.3581,8.5116,1.1013,2.8888,2.0081,135.7338,0.969
245,569,Sudan,625,SDN,2027,5,174.9616,1.154,5.1703,0.7673,5.0343,2.2576,1.3534,8.5599,1.1049,2.8707,2.0189,152.5963,0.9561
245,570,Sudan,625,SDN,2027,6,186.4409,1.1588,5.2335,0.7695,4.9523,2.2339,1.3367,8.3362,1.0833,2.8064,1.9545,140.4989,0.9659
245,571,Sudan,625,SDN,2027,7,160.2537,1.1761,5.083,0.7776,4.9021,2.2618,1.3305,8.6,1.0761,2.7828,1.9332,133.5655,0.9567
245,572,Sudan,625,SDN,2027,8,156.7066,1.1743,5.0607,0.7767,5.0343,2.2477,1.3418,8.4655,1.0766,2.826,1.9346,152.5944,0.9518
245,573,Sudan,625,SDN,2027,9,178.2531,1.182,5.1888,0.7803,5.0352,2.2572,1.3499,8.5567,1.0857,2.857,1.9616,152.7234,0.9568
245,574,Sudan,625,SDN,2027,10,223.8841,1.1825,5.4156,0.7805,5.0527,2.2857,1.3625,8.8322,1.0895,2.9061,1.9727,155.4425,0.9654
245,575,Sudan,625,SDN,2027,11,194.2886,1.2477,5.2745,0.8099,5.2648,2.3701,1.3871,9.6988,1.1064,3.0031,2.0235,192.4154,0.9529
245,576,Sudan,625,SDN,2027,12,138.1233,1.2336,4.9354,0.8036,5.2108,2.37,1.3728,9.6975,1.0883,2.9464,1.9691,182.2403,0.9247
245,577,Sudan,625,SDN,2028,1,159.6625,1.2502,5.0793,0.811,5.2178,2.3316,1.3651,9.2946,1.0759,2.916,1.9325,183.5197,0.9363
245,578,Sudan,625,SDN,2028,2,137.4718,1.2619,4.9307,0.8162,5.1424,2.3126,1.3697,9.1008,1.0715,2.9342,1.9198,170.1313,0.927
245,579,Sudan,625,SDN,2028,3,99.2727,1.2229,4.6079,0.7988,5.0748,2.3221,1.3531,9.1971,1.059,2.8695,1.8834,158.9357,0.8937
245,580,Sudan,625,SDN,2028,4,139.7777,1.2786,4.9472,0.8236,5.1696,2.3761,1.3747,9.7626,1.0727,2.9539,1.9234,174.8516,0.9247
245,581,Sudan,625,SDN,2028,5,170.412,1.2619,5.1441,0.8162,4.8814,2.3656,1.3671,9.65,1.0669,2.9241,1.9063,130.8193,0.9527
245,582,Sudan,625,SDN,2028,6,151.7023,1.3079,5.0285,0.8364,5.1221,2.3791,1.3675,9.7952,1.0569,2.9257,1.8773,166.6841,0.947
245,583,Sudan,625,SDN,2028,7,138.4809,1.292,4.9379,0.8294,5.0368,2.3749,1.3586,9.75,1.0602,2.8908,1.8868,152.9794,0.942
245,584,Sudan,625,SDN,2028,8,171.1456,1.3185,5.1483,0.8409,5.0558,2.4384,1.3681,10.4552,1.0624,2.9279,1.8932,155.9296,0.9545
245,585,Sudan,625,SDN,2028,9,191.1874,1.3297,5.2585,0.8457,4.8856,2.426,1.3627,10.3134,1.0597,2.9066,1.8855,131.3704,0.9551
